名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
“丛林猎人”赫米特,中立,传说,63,3,不适合,,
“开拓者”伊莉斯,中立,传说,65,3,,,
“老狐狸”马林,中立,传说,41,5,不适合,,
下水道爬行者,中立,普通,58,4,适合,,
不稳定的元素,中立,普通,55,4,,,
丛林猎豹,中立,普通,56,4,适合,,
中场拾荒者,中立,普通,60,3,,,
主人的召唤,猎人,史诗,22,7,,是,
乌达斯塔,中立,传说,82,1,不适合,,
亡斧惩罚者,中立,史诗,26,7,,,
亡语者,中立,普通,77,2,,,
人偶大师多里安,中立,传说,33,6,,,
任务达人,中立,稀有,55,4,,,
伊利丹·怒风,中立,传说,66,3,,,
伊瑟拉,中立,传说,66,3,不适合,,
伦鲁迪洛尔,猎人,传说,50,4,,,
伪装机器人,中立,普通,63,3,适合,,
作战傀儡,中立,普通,47,5,不适合,,
侏儒发明家,中立,普通,60,3,,,
侧翼打击,猎人,普通,108,1,,,
倔强的蜗牛,中立,普通,67,3,适合,,
全息术士,中立,史诗,24,7,,,
公会招募员,中立,普通,54,4,,,
关门放狗,猎人,普通,82,1,,,
再生暴徒,中立,普通,58,4,,,
冰冻粉碎者,中立,稀有,63,3,,,
冰冻陷阱,猎人,普通,81,1,,,
冰川裂片,中立,普通,73,2,适合,,
冰淇淋小贩,中立,史诗,50,4,,,
冰霜元素,中立,普通,68,3,适合,,
冰风雪人,中立,普通,66,3,,,
冷酷的死灵法师,中立,普通,67,3,,,
凯恩·血蹄,中立,传说,76,2,不适合,,
凯雷塞斯王子,中立,传说,31,6,不适合,,
凶恶的鳞皮兽,中立,普通,33,6,不适合,,
凶残撕咬,猎人,普通,59,4,,,
凶猛狂暴,猎人,普通,53,4,,,
凶猛的聒噪怪,中立,稀有,51,4,适合,,
分裂腐树,中立,史诗,18,7,不适合,,
利齿宝箱,中立,普通,43,5,,,
制毒师,中立,普通,51,4,适合,,
剃刀猎手,中立,普通,57,4,适合,,
